Ticker,Price,Intrinsic_Value,Valuation_Gap_Pct,Market_Cap_Cr,PE_Trailing,Bubble_Index,Sector
NYKAA.NS,263.2,17.78,1380.36,75367.53,537.1429,100.0,Consumer Cyclical
ADANIGREEN.NS,1346.1,113.21,1089.0,221726.38,138.63028,92.58,Utilities
DELHIVERY.NS,478.95,16.87,2739.86,35859.82,238.28358,75.96,Industrials
TRENT.NS,4126.9,381.77,980.98,146706.11,85.33705,72.29,Consumer Cyclical
DMART.NS,4391.8,375.95,1068.19,286399.66,96.20591,68.79,Consumer Defensive
DIXON.NS,10420.0,520.06,1903.63,63234.55,37.93367,60.78,Technology
ASIANPAINT.NS,2516.7,405.87,520.08,241262.0,62.85464,44.39,Basic Materials
PAYTM.NS,1169.8,241.06,385.28,74888.28,137.62354,44.17,Technology
ADANIPORTS.NS,1719.7,327.87,424.51,396211.83,29.512613,42.5,Industrials
TITAN.NS,4119.6,792.74,419.66,365427.16,72.02098,34.65,Consumer Cyclical
DLF.NS,577.7,311.43,85.5,142998.75,32.309845,31.43,Real Estate
ZOMATO.NS,0.0,0.0,0.0,0.0,,29.9,N/A
PBFINTECH.NS,0.0,0.0,0.0,0.0,,29.9,N/A
TATAMOTORS.NS,0.0,0.0,0.0,0.0,,29.9,N/A
POLYCAB.NS,9119.5,2321.63,292.81,137294.54,51.58672,27.29,Industrials
ADANIENT.NS,2448.7,626.99,290.55,335703.1,33.31111,23.8,Energy
HAL.NS,4678.0,2666.04,75.47,312852.93,35.125397,21.94,Industrials
MARUTI.NS,13290.0,4151.83,220.1,417840.99,28.488134,17.8,Consumer Cyclical
RELIANCE.NS,1391.3,767.01,81.39,1882772.94,23.308764,8.84,Energy
INDIGO.NS,4290.3,8746.93,-50.95,165883.16,51.702816,6.14,Industrials
