Ticker,Mar_Open,Mar_Close,Change_Pct,Capital_Flow
META,653.0,572.13,-12.38,OUTFLOW (Liquidation)
QCOM,140.13,128.78,-8.1,OUTFLOW (Liquidation)
TSLA,403.32,371.75,-7.83,OUTFLOW (Liquidation)
MSFT,398.55,370.17,-7.12,OUTFLOW (Liquidation)
ADBE,260.88,243.08,-6.82,OUTFLOW (Liquidation)
GOOGL,306.3,287.56,-6.12,OUTFLOW (Liquidation)
UBER,75.95,71.93,-5.29,OUTFLOW (Liquidation)
ABNB,133.26,126.28,-5.24,OUTFLOW (Liquidation)
NOW,109.42,104.55,-4.45,OUTFLOW (Liquidation)
NVDA,182.47,174.4,-4.42,OUTFLOW (Liquidation)
AAPL,264.72,253.79,-4.13,OUTFLOW (Liquidation)
CRM,192.47,186.2,-3.26,OUTFLOW (Liquidation)
INTC,45.5,44.13,-3.01,OUTFLOW (Liquidation)
AVGO,318.15,309.51,-2.72,OUTFLOW (Liquidation)
ORCL,148.73,146.6,-1.43,NEUTRAL (Stability)
NFLX,97.09,96.15,-0.97,NEUTRAL (Stability)
AMZN,208.39,208.27,-0.06,NEUTRAL (Stability)
AMD,198.62,203.43,2.42,INFLOW (Defensive Buying)
INTU,417.77,431.05,3.18,INFLOW (Defensive Buying)
PANW,150.15,160.32,6.77,INFLOW (Defensive Buying)
