Ticker,Price,MarketCap,PE_Trailing,PE_Forward,Debt_Total,Cash_Total,ROIC,Sloan_Ratio,Short_Float
AAPL,260.48,3828515864576,33.013943,27.971819,90509000704,66907000832,3.9,0.0,0.85
MSFT,370.87,2756445995008,23.208385,19.68536,123278000128,89461997568,6.09,-4.6179,1.08
GOOGL,317.24,3837652369408,29.319778,23.616993,66995998720,126843002880,3.85,0.0,1.37
AMZN,238.38,2563598712832,33.200558,25.378717,178546999296,123028996096,5.31,-120.0854,0.87
NVDA,188.63,4584652144640,38.49592,16.968699,11411999744,62556000256,2.9,0.7138,0.98
META,629.86,1593265750016,26.813963,17.622093,85080997888,81592000512,6.07,0.0,1.11
TSLA,348.95,1309411115008,323.10184,127.69236,14718999552,44059000832,0.79,0.0,1.82
AVGO,371.55,1761620131840,72.426895,20.827295,66056998912,14174000128,2.04,0.0,1.13
AMD,245.04,399515877376,93.52672,22.620691,4006000128,10552000512,1.67,-51.9077,1.99
NFLX,103.01,436957052928,40.715416,26.640358,16975837184,9062359040,3.01,2.4007,1.93
ADBE,225.35,91860983808,13.139942,8.545683,6670000128,6898999808,9.66,-15.4309,3.63
CRM,164.96,154567524352,21.148718,11.076011,17710999552,9564999680,7.28,-52.3542,8.69
ORCL,138.09,397153206272,24.79174,17.319921,162164998144,39132000256,4.91,-2.9847,1.62
INTC,62.38,313210634240,0.0,61.351746,47109001216,37416001536,3.51,0.0,2.3
QCOM,128.06,136773853184,25.818548,11.554195,14817000448,11822000128,9.08,-7.8873,4.15
NOW,83.0,86817996800,49.7006,16.542728,2403000064,6284000256,3.07,-199.8054,2.89
INTU,350.94,97657503744,22.832792,13.254408,6888000000,2975000064,5.84,-8.3761,3.0
UBER,70.48,145056022528,14.900635,16.416046,12302000128,7632999936,4.01,-0.0222,2.86
PANW,155.73,127075680256,86.03867,39.243404,459000000,4536000000,1.2,-3.866,3.11
ABNB,128.96,77313327104,31.920794,22.301737,2271000064,11013999616,3.23,-232.0652,3.48
