Ticker,Price,USI_Score,Sloan_Ratio,ROIC,PE_Forward,Short_Float
TSLA,348.95,100.0,0.0,0.79,127.69236,1.82
NFLX,103.01,96.77,2.4007,3.01,26.640358,1.93
NVDA,188.63,90.36,0.7138,2.9,16.968699,0.98
INTC,62.38,66.19,0.0,3.51,61.351746,2.3
AAPL,260.48,46.76,0.0,3.9,27.971819,0.85
GOOGL,317.24,45.41,0.0,3.85,23.616993,1.37
AVGO,371.55,44.19,0.0,2.04,20.827295,1.13
META,629.86,41.22,0.0,6.07,17.622093,1.11
UBER,70.48,33.31,-0.0222,4.01,16.416046,2.86
PANW,155.73,8.37,-3.866,1.2,39.243404,3.11
CRM,164.96,1.14,-52.3542,7.28,11.076011,8.69
ABNB,128.96,-0.29,-232.0652,3.23,22.301737,3.48
AMD,245.04,-2.04,-51.9077,1.67,22.620691,1.99
AMZN,238.38,-3.64,-120.0854,5.31,25.378717,0.87
NOW,83.0,-4.12,-199.8054,3.07,16.542728,2.89
ORCL,138.09,-6.38,-2.9847,4.91,17.319921,1.62
MSFT,370.87,-6.44,-4.6179,6.09,19.68536,1.08
INTU,350.94,-6.51,-8.3761,5.84,13.254408,3.0
QCOM,128.06,-6.56,-7.8873,9.08,11.554195,4.15
ADBE,225.35,-9.12,-15.4309,9.66,8.545683,3.63
