ticker,market,sector,sub_sector,avs_score,z_score,leverage_ratio,sloan_ratio,roic,m_score,f_score,short_float,pe_ratio,bailout_probability,astra_strike_score
BAJFINANCE.NS,IND,Headline,Large_Cap,43.33,,10.0,0.1515,0.0,-2.5,4,0.0,0.0,30,51.33
TSLA,US,Headline,Large_Cap,28.55,18.26,1.43,-0.0795,0.0363,-2.51,5,0.02,370.69092,15,45.48
AMGN,US,Headline,Large_Cap,34.82,1.93,3.39,-0.0248,0.1233,-1.97,7,0.02,25.323345,30,45.37
AXISBANK.NS,IND,Headline,Large_Cap,34.53,,10.0,0.018,0.0,-2.5,4,0.0,0.0,30,45.17
KOTAKBANK.NS,IND,Headline,Large_Cap,33.33,,10.0,-0.0224,0.0,-2.5,4,0.0,0.0,30,44.33
NVDA,US,Headline,Large_Cap,30.98,66.77,0.08,0.0839,0.6575,-1.09,3,0.01,31.069221,30,42.68
PYPL,US,Headline,Large_Cap,26.03,1.87,1.78,-0.0148,0.1759,-2.21,7,0.07,8.499083,30,39.22
TITAN.NS,IND,Headline,Large_Cap,24.4,7.83,3.88,-0.0085,0.1216,-2.08,5,0.0,0.0,30,38.08
WIPRO.NS,IND,Headline,Large_Cap,21.3,4.12,1.19,-0.0122,0.1046,-2.03,3,0.0,0.0,30,35.91
PEP,US,Headline,Large_Cap,20.12,3.42,2.82,-0.0358,0.1551,-2.23,4,0.03,18.076317,30,35.08
AMD,US,Headline,Large_Cap,19.2,40.22,0.52,-0.0439,0.0566,-2.3,7,0.03,181.72313,30,34.44
NFLX,US,Headline,Large_Cap,18.53,9.12,1.17,0.015,0.28,-1.68,6,0.02,24.294703,30,33.97
AMZN,US,Headline,Large_Cap,16.36,5.61,1.51,-0.0756,0.114,-2.33,5,0.01,31.656775,30,32.45
AVGO,US,Headline,Large_Cap,15.82,13.76,1.54,-0.0258,0.1812,-1.77,8,0.01,66.66167,30,32.07
ITC.NS,IND,Headline,Large_Cap,14.85,13.15,0.09,0.0237,0.2549,-2.2,3,0.0,0.0,30,31.39
ULTRACEMCO.NS,IND,Headline,Large_Cap,14.51,,1.4,-0.0506,0.0888,-2.21,7,0.0,0.0,30,31.16
LT.NS,IND,Headline,Large_Cap,35.83,2.32,3.7,-0.0015,0.0786,-2.02,5,0.0,0.0,80,31.08
SUNPHARMA.NS,IND,Headline,Large_Cap,14.37,13.54,0.28,-0.0086,0.1175,-2.03,5,0.0,0.0,30,31.06
RELIANCE.NS,IND,Headline,Large_Cap,34.5,2.01,2.32,-0.0511,0.0635,-2.06,6,0.0,0.0,80,30.15
COST,US,Headline,Large_Cap,12.13,9.56,0.74,-0.0679,0.2082,-2.33,5,0.02,45.881325,30,29.49
MSFT,US,Headline,Large_Cap,12.08,7.99,0.68,-0.0555,0.262,-2.24,5,0.01,22.88176,30,29.45
ICICIBANK.NS,IND,Headline,Large_Cap,33.33,,10.0,-0.0045,0.0,-2.5,4,0.0,0.0,80,29.33
HDFCBANK.NS,IND,Headline,Large_Cap,33.33,,10.0,-0.0108,0.0,-2.5,4,0.0,0.0,80,29.33
TXN,US,Headline,Large_Cap,11.76,12.88,1.62,-0.0622,0.1774,-2.32,7,0.02,52.611485,30,29.23
GOOGL,US,Headline,Large_Cap,9.99,17.06,0.59,-0.0547,0.2263,-2.27,6,0.01,27.391104,30,27.99
META,US,Headline,Large_Cap,9.82,8.87,0.79,-0.1512,0.1946,-2.73,5,0.02,22.989008,30,27.87
QCOM,US,Headline,Large_Cap,9.22,6.87,1.17,-0.1689,0.1506,-2.76,6,0.04,20.538546,30,27.45
CSCO,US,Headline,Large_Cap,9.04,4.61,1.94,-0.0328,0.153,-2.31,9,0.01,39.386364,30,27.33
BHARTIARTL.NS,IND,Headline,Large_Cap,8.02,,1.63,-0.173,0.1281,-2.9,8,0.0,0.0,30,26.61
INTU,US,Headline,Large_Cap,7.4,4.45,1.08,-0.0633,0.15,-2.31,8,0.06,16.664242,30,26.18
ADBE,US,Headline,Large_Cap,5.99,6.95,0.73,-0.0984,0.389,-2.5,7,0.06,12.735764,30,25.19
ASIANPAINT.NS,IND,Headline,Large_Cap,5.19,15.0,0.62,-0.08,0.1582,-2.5,7,0.0,0.0,30,24.64
SBIN.NS,IND,Headline,Large_Cap,33.69,,10.0,0.0054,0.0,-2.5,4,0.0,0.0,100,23.59
INTC,US,Headline,Large_Cap,27.16,4.69,3.18,-0.0471,-0.0,-2.24,6,0.03,0.0,100,19.01
TCS.NS,IND,Headline,Large_Cap,10.17,10.01,0.0,-0.0158,0.4226,-2.15,5,0.0,0.0,90,10.12
INFY.NS,IND,Headline,Large_Cap,7.06,396.44,0.22,-0.0441,0.2784,-2.36,6,0.0,0.0,85,9.44
AAPL,US,Headline,Large_Cap,9.64,12.0,0.53,0.0015,0.6513,-2.0,8,0.01,38.31349,100,6.75
HCLTECH.NS,IND,Headline,Large_Cap,,,0.19,-0.0287,0.3825,,7,0.0,0.0,30,
MARUTI.NS,IND,Headline,Large_Cap,,,0.0,-0.0297,0.1053,,6,0.0,0.0,30,
NESTLEIND.NS,IND,Headline,Large_Cap,,,0.09,,,,0,0.0,0.0,30,
