Ticker,Energy_Beta,Semi_Beta,FII_Beta,VIX_Beta,Forensic_Weight
AAPL,1.2,1.8,1.1,1.3,0.4
MSFT,0.8,1.1,1.0,1.0,0.2
NVDA,1.0,2.0,1.5,1.8,0.7
TSLA,1.5,1.5,1.8,1.9,0.9
AMZN,1.7,1.2,1.2,1.4,0.5
META,0.9,0.8,1.4,1.5,0.4
GOOGL,0.8,0.7,1.2,1.1,0.3
NFLX,0.7,0.5,1.4,1.4,0.6
DELHIVERY.NS,2.0,0.5,1.9,1.5,0.9
PAYTM.NS,1.2,0.4,2.0,1.7,1.0
NYKAA.NS,1.4,0.3,1.8,1.6,0.8
ZOMATO.NS,1.8,0.4,1.7,1.4,0.7
INTC,1.1,1.9,1.2,1.6,0.8
AMD,1.1,1.9,1.4,1.7,0.6
CRM,0.9,0.7,1.5,1.5,0.8
UBER,1.9,0.6,1.4,1.5,0.7
ABNB,1.5,0.5,1.5,1.6,0.6
PANW,1.0,0.9,1.6,1.4,0.8
QCOM,1.1,1.9,1.3,1.5,0.5
ADBE,0.8,0.6,1.3,1.2,0.4
