Ticker,Price,Z_Score,LVR,MSR,FSR,PE_Ratio,Short_Float
AAPL,260.48,1.27,0.59,,3,33.013943,0.8500000000000001
MSFT,370.87,1.86,0.7,-22.73,5,23.208385,1.08
GOOGL,317.24,2.77,0.45,,3,29.319778,1.37
AMZN,238.38,1.27,1.23,-1200.85,5,33.200558,0.8699999999999999
NVDA,188.63,4.71,0.09,7.14,3,38.49592,0.98
META,629.86,3.63,0.84,,3,26.813963,1.11
TSLA,348.95,2.31,1.4,,3,323.10184,1.82
AVGO,371.55,2.51,1.77,,3,72.426895,1.13
AMD,245.04,2.68,0.59,-529.23,5,93.52672,1.9900000000000002
NFLX,103.01,1.59,1.24,24.01,3,40.715416,1.9299999
ADBE,225.35,1.18,0.7,-150.16,5,13.139942,3.63
CRM,164.96,0.97,1.41,-523.54,5,21.148718,8.6899996
ORCL,138.09,1.84,5.91,-16.51,5,24.79174,1.6199999999999999
INTC,62.38,1.96,3.73,,3,0.0,2.3
QCOM,128.06,2.44,1.08,-80.51,5,25.818548,4.1500002
NOW,83.0,1.29,0.88,-1998.05,5,49.7006,2.8900001
INTU,350.94,0.72,1.13,-66.89,5,22.832792,3.0
UBER,70.48,1.4,1.95,-0.22,5,14.900635,2.86
PANW,155.73,1.37,0.3,-36.44,5,86.03867,3.11
ABNB,128.96,1.23,0.88,-2320.65,5,31.920794,3.4799999999999995
