Ticker,Price,avs_score,z_score,lvr,msr,fsr,ss_score
CRM,164.96,7.5,0.97,1.41,-523.54,5,100.0
QCOM,128.06,7.24,2.44,1.08,-80.51,5,51.58
PANW,155.73,14.21,1.37,0.3,-36.44,5,48.21
ABNB,128.96,7.58,1.23,0.88,-2320.65,5,47.55
NFLX,103.01,30.02,1.59,1.24,24.01,3,47.03
ADBE,225.35,4.13,1.18,0.7,-150.16,5,46.73
NOW,83.0,10.33,1.29,0.88,-1998.05,5,43.46
INTU,350.94,6.92,0.72,1.13,-66.89,5,43.31
UBER,70.48,8.16,1.4,1.95,-0.22,5,41.42
ORCL,138.09,21.57,1.84,5.91,-16.51,5,37.54
AMD,245.04,16.24,2.68,0.59,-529.23,5,35.83
NVDA,188.63,20.51,4.71,0.09,7.14,3,24.69
AMZN,238.38,8.83,1.27,1.23,-1200.85,5,22.29
MSFT,370.87,5.69,1.86,0.7,-22.73,5,21.02
AAPL,260.48,,1.27,0.59,,3,
GOOGL,317.24,,2.77,0.45,,3,
META,629.86,,3.63,0.84,,3,
TSLA,348.95,,2.31,1.4,,3,
AVGO,371.55,,2.51,1.77,,3,
INTC,62.38,,1.96,3.73,,3,
